"event_stamp","origin","module","active","records","loop_min","loop_max","loop_avg","loop_med","loop_std"
"2025-12-30 05:14:02","Looprate","lg","1","3094","12","19968093","834111","57047","1751004"
"2025-12-30 05:14:02","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 05:14:02","Looprate","mx","1","5176","12","15278796","498915","38562","1116555"
"2025-12-30 05:14:04","Looprate","wb","1","64388","14","1644221","40382","10241","77994"
"2025-12-30 05:14:04","Looprate","geo","1","10542","20","3621297","245707","108173","360670"
"2025-12-30 05:42:57","Looprate","lg","1","3095","12","19968093","835032","57101","1751471"
"2025-12-30 05:42:57","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 05:42:57","Looprate","mx","1","5177","12","15278796","499270","38635","1116739"
"2025-12-30 05:42:59","Looprate","wb","1","64418","14","1644221","40389","10241","77988"
"2025-12-30 05:42:59","Looprate","geo","1","10545","20","3621297","245858","108241","360841"
"2025-12-30 05:43:56","Looprate","lg","1","3095","12","19968093","835032","57101","1751471"
"2025-12-30 05:43:56","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 05:43:57","Looprate","mx","1","5177","12","15278796","499270","38635","1116739"
"2025-12-30 05:43:58","Looprate","wb","1","64419","14","1644221","40390","10241","77988"
"2025-12-30 05:43:58","Looprate","geo","1","10545","20","3621297","245858","108241","360841"
"2025-12-30 05:45:06","Looprate","lg","1","3095","12","19968093","835032","57101","1751471"
"2025-12-30 05:45:06","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 05:45:06","Looprate","mx","1","5177","12","15278796","499270","38635","1116739"
"2025-12-30 05:45:07","Looprate","wb","1","64423","14","1644221","40389","10241","77986"
"2025-12-30 05:45:08","Looprate","geo","1","10545","20","3621297","245858","108241","360841"
"2025-12-30 05:51:39","Looprate","lg","1","3095","12","19968093","835032","57101","1751471"
"2025-12-30 05:51:40","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 05:51:40","Looprate","mx","1","5177","12","15278796","499270","38635","1116739"
"2025-12-30 05:51:41","Looprate","wb","1","64434","14","1644221","40388","10241","77982"
"2025-12-30 05:51:41","Looprate","geo","1","10546","20","3621297","245869","108248","360825"
"2025-12-30 06:17:17","Looprate","lg","1","3096","12","19968093","835746","57128","1751638"
"2025-12-30 06:17:18","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 06:17:18","Looprate","mx","1","5183","12","15278796","499070","38635","1116162"
"2025-12-30 06:17:19","Looprate","wb","1","64472","14","1644221","40388","10241","77973"
"2025-12-30 06:17:20","Looprate","geo","1","10554","20","3621297","245846","108248","360752"
"2025-12-30 06:17:35","Looprate","lg","1","3096","12","19968093","835746","57128","1751638"
"2025-12-30 06:17:35","Looprate","mb","1","515","53","184997844","4352915","290873","14553681"
"2025-12-30 06:17:35","Looprate","mx","1","5183","12","15278796","499070","38635","1116162"
"2025-12-30 06:17:36","Looprate","wb","1","64472","14","1644221","40388","10241","77973"
"2025-12-30 06:17:37","Looprate","geo","1","10554","20","3621297","245846","108248","360752"
"2025-12-30 15:51:52","Looprate","lg","1","3146","12","19968093","832339","56853","1746100"
"2025-12-30 15:51:52","Looprate","mb","1","517","53","184997844","4389967","291630","14542594"
"2025-12-30 15:51:52","Looprate","mx","1","5270","12","15278796","497221","34490","1124851"
"2025-12-30 15:51:53","Looprate","wb","1","65201","14","1644221","40462","10245","77819"
"2025-12-30 15:51:54","Looprate","geo","1","10680","20","3621297","246149","107192","363109"
"2025-12-31 04:36:08","Looprate","lg","1","3193","12","19968093","835463","56860","1747208"
"2025-12-31 04:36:08","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 04:36:08","Looprate","mx","1","5341","12","15278796","499021","34540","1126487"
"2025-12-31 04:36:09","Looprate","wb","1","66482","14","1644221","40374","10265","77454"
"2025-12-31 04:36:10","Looprate","geo","1","10825","20","3621297","247091","107364","364223"
"2025-12-31 04:56:06","Looprate","lg","1","3193","12","19968093","835463","56860","1747208"
"2025-12-31 04:56:06","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 04:56:07","Looprate","mx","1","5341","12","15278796","499021","34540","1126487"
"2025-12-31 04:56:08","Looprate","wb","1","66507","14","1644221","40377","10270","77443"
"2025-12-31 04:56:08","Looprate","geo","1","10826","20","3621297","247155","107387","364268"
"2025-12-31 05:13:38","Looprate","lg","1","3194","12","19968093","835623","56927","1746958"
"2025-12-31 05:13:39","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 05:13:39","Looprate","mx","1","5341","12","15278796","499021","34540","1126487"
"2025-12-31 05:13:40","Looprate","wb","1","66533","14","1644221","40377","10269","77439"
"2025-12-31 05:13:41","Looprate","geo","1","10827","20","3621297","247256","107411","364403"
"2025-12-31 06:00:08","Looprate","lg","1","3196","12","19968093","835458","57047","1746465"
"2025-12-31 06:00:09","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 06:00:09","Looprate","mx","1","5350","12","15278796","499372","34639","1126843"
"2025-12-31 06:00:10","Looprate","lg","1","3196","12","19968093","835458","57047","1746465"
"2025-12-31 06:00:10","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 06:00:10","Looprate","wb","1","66593","14","1644221","40382","10277","77417"
"2025-12-31 06:00:11","Looprate","mx","1","5350","12","15278796","499372","34639","1126843"
"2025-12-31 06:00:11","Looprate","geo","1","10839","20","3621297","247193","107440","364262"
"2025-12-31 06:00:12","Looprate","wb","1","66593","14","1644221","40382","10277","77417"
"2025-12-31 06:00:12","Looprate","geo","1","10839","20","3621297","247193","107440","364262"
"2025-12-31 07:16:46","Looprate","lg","1","3200","12","19968093","835958","57047","1745987"
"2025-12-31 07:16:46","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 07:16:46","Looprate","mx","1","5356","12","15278796","499635","34701","1127000"
"2025-12-31 07:16:48","Looprate","wb","1","66670","14","1644221","40404","10328","77410"
"2025-12-31 07:16:48","Looprate","geo","1","10847","20","3621297","247461","107564","364683"
"2025-12-31 07:18:46","Looprate","lg","1","3200","12","19968093","835958","57047","1745987"
"2025-12-31 07:18:46","Looprate","mb","1","518","53","184997844","4476291","291993","14660537"
"2025-12-31 07:18:47","Looprate","mx","1","5356","12","15278796","499635","34701","1127000"
"2025-12-31 07:18:48","Looprate","wb","1","66673","14","1644221","40405","10329","77409"
"2025-12-31 07:18:48","Looprate","geo","1","10847","20","3621297","247461","107564","364683"
"2025-12-31 10:11:07","Looprate","lg","1","3226","12","19968093","833134","56853","1741167"
"2025-12-31 10:11:07","Looprate","mb","1","519","53","184997844","4520627","292357","14681127"
"2025-12-31 10:11:07","Looprate","mx","1","5373","12","15278796","499848","34801","1125823"
"2025-12-31 10:11:09","Looprate","wb","1","66810","14","1644221","40477","10323","77724"
"2025-12-31 10:11:09","Looprate","geo","1","10885","20","3621297","247532","107649","364455"
"2025-12-31 10:21:14","Looprate","lg","1","3226","12","19968093","833134","56853","1741167"
"2025-12-31 10:21:15","Looprate","mb","1","519","53","184997844","4520627","292357","14681127"
"2025-12-31 10:21:15","Looprate","mx","1","5376","12","15278796","499904","34872","1125654"
"2025-12-31 10:21:16","Looprate","wb","1","66815","14","1644221","40481","10325","77726"
"2025-12-31 10:21:16","Looprate","geo","1","10887","20","3621297","247556","107689","364441"
"2025-12-31 11:12:57","Looprate","lg","1","3239","12","19968093","830810","56831","1738244"
"2025-12-31 11:12:57","Looprate","mb","1","519","53","184997844","4520627","292357","14681127"
"2025-12-31 11:12:57","Looprate","mx","1","5381","12","15278796","499873","35007","1125198"
"2025-12-31 11:12:58","Looprate","wb","1","66942","14","1644221","40452","10280","77681"
"2025-12-31 11:12:59","Looprate","geo","1","10906","20","3621297","247400","107669","364223"
"2025-12-31 12:00:08","Looprate","lg","1","3246","12","19968093","829772","56681","1736621"
"2025-12-31 12:00:08","Looprate","mb","1","519","53","184997844","4520627","292357","14681127"
"2025-12-31 12:00:08","Looprate","mx","1","5387","12","15278796","499927","35007","1125126"
"2025-12-31 12:00:09","Looprate","wb","1","67003","14","1644221","40457","10299","77667"
"2025-12-31 12:00:10","Looprate","geo","1","10915","20","3621297","247484","107811","364194"
"2025-12-31 18:00:07","Looprate","lg","1","3282","12","19968093","827238","56437","1730807"
"2025-12-31 18:00:08","Looprate","mb","1","519","53","184997844","4520627","292357","14681127"
"2025-12-31 18:00:08","Looprate","mx","1","5428","12","15278796","500112","35438","1122768"
"2025-12-31 18:00:09","Looprate","wb","1","67479","14","1644221","40491","10405","77573"
"2025-12-31 18:00:10","Looprate","geo","1","10983","20","3621297","247890","108105","364374"
"2026-01-01 00:00:13","Looprate","lg","1","3297","12","19968093","827680","56831","1728846"
"2026-01-01 00:00:13","Looprate","mb","1","520","53","184997844","4593467","292624","14760576"
