"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2025-12-30 05:13:59","Procrate","lg","1","2605","30.0","2000.0","290.52","199.0","5.03","6.0","1824.0","240.94","163.0","6.13"
"2025-12-30 05:13:59","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
"2025-12-30 05:13:59","Procrate","mx","1","5059","23.0","2000.0","163.72","77.0","12.99","2.0","1681.0","105.82","20.0","50.0"
"2025-12-30 05:14:00","Procrate","wb","1","64109","15.0","1996.0","95.61","40.0","25.0","4.0","1852.0","48.7","21.0","47.62"
"2025-12-30 05:14:00","Procrate","geo","1","9719","358.0","2000.0","711.17","680.0","1.47","325.0","1960.0","656.9","634.0","1.58"
"2025-12-30 05:42:55","Procrate","lg","1","2606","30.0","2000.0","290.5","199.0","5.03","6.0","1824.0","240.91","163.0","6.13"
"2025-12-30 05:42:55","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
"2025-12-30 05:42:55","Procrate","mx","1","5060","23.0","2000.0","163.7","77.0","12.99","2.0","1681.0","105.8","20.0","50.0"
"2025-12-30 05:42:56","Procrate","wb","1","64139","15.0","1996.0","95.59","40.0","25.0","4.0","1852.0","48.68","21.0","47.62"
"2025-12-30 05:42:56","Procrate","geo","1","9722","358.0","2000.0","711.18","680.0","1.47","325.0","1960.0","656.91","634.0","1.58"
"2025-12-30 05:43:54","Procrate","lg","1","2606","30.0","2000.0","290.5","199.0","5.03","6.0","1824.0","240.91","163.0","6.13"
"2025-12-30 05:43:55","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
"2025-12-30 05:43:55","Procrate","mx","1","5060","23.0","2000.0","163.7","77.0","12.99","2.0","1681.0","105.8","20.0","50.0"
"2025-12-30 05:43:55","Procrate","wb","1","64140","15.0","1996.0","95.58","40.0","25.0","4.0","1852.0","48.68","21.0","47.62"
"2025-12-30 05:43:56","Procrate","geo","1","9722","358.0","2000.0","711.18","680.0","1.47","325.0","1960.0","656.91","634.0","1.58"
"2025-12-30 05:45:02","Procrate","lg","1","2606","30.0","2000.0","290.5","199.0","5.03","6.0","1824.0","240.91","163.0","6.13"
"2025-12-30 05:45:03","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
"2025-12-30 05:45:03","Procrate","mx","1","5060","23.0","2000.0","163.7","77.0","12.99","2.0","1681.0","105.8","20.0","50.0"
"2025-12-30 05:45:04","Procrate","wb","1","64144","15.0","1996.0","95.58","40.0","25.0","4.0","1852.0","48.68","21.0","47.62"
"2025-12-30 05:45:04","Procrate","geo","1","9722","358.0","2000.0","711.18","680.0","1.47","325.0","1960.0","656.91","634.0","1.58"
"2025-12-30 05:51:37","Procrate","lg","1","2606","30.0","2000.0","290.5","199.0","5.03","6.0","1824.0","240.91","163.0","6.13"
"2025-12-30 05:51:37","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
"2025-12-30 05:51:38","Procrate","mx","1","5060","23.0","2000.0","163.7","77.0","12.99","2.0","1681.0","105.8","20.0","50.0"
"2025-12-30 05:51:38","Procrate","wb","1","64155","15.0","1996.0","95.57","40.0","25.0","4.0","1852.0","48.68","21.0","47.62"
"2025-12-30 05:51:38","Procrate","geo","1","9723","358.0","2000.0","711.16","680.0","1.47","325.0","1960.0","656.89","634.0","1.58"
"2025-12-30 06:17:15","Procrate","lg","1","2607","30.0","2000.0","290.47","199.0","5.03","6.0","1824.0","240.9","163.0","6.13"
"2025-12-30 06:17:15","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
"2025-12-30 06:17:15","Procrate","mx","1","5066","23.0","2000.0","163.69","77.0","12.99","2.0","1681.0","105.82","20.0","50.0"
"2025-12-30 06:17:16","Procrate","wb","1","64193","15.0","1996.0","95.54","40.0","25.0","4.0","1852.0","48.67","21.0","47.62"
"2025-12-30 06:17:16","Procrate","geo","1","9731","358.0","2000.0","711.05","680.0","1.47","325.0","1960.0","656.79","634.0","1.58"
"2025-12-30 06:17:32","Procrate","lg","1","2607","30.0","2000.0","290.47","199.0","5.03","6.0","1824.0","240.9","163.0","6.13"
"2025-12-30 06:17:32","Procrate","mb","1","507","33.0","1644.0","177.31","143.0","6.99","6.0","1415.0","149.89","119.0","8.4"
