"event_stamp","origin","module","active","records","rate_loop_min","rate_loop_max","rate_loop_avg","rate_loop_med","rate_loop_procs","rate_filter_min","rate_filter_max","rate_filter_avg","rate_filter_med","rate_filter_proc"
"2025-12-30 05:14:00","Sqlrate","lg","1","6299","11.0","2280.0","75.72","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 05:14:01","Sqlrate","mx","1","4553","11.0","2150.0","76.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 05:14:01","Sqlrate","wb","1","11764","11.0","2547.0","66.1","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 05:14:01","Sqlrate","geo","1","10606","11.0","2233.0","90.46","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 05:42:56","Sqlrate","lg","1","6302","11.0","2280.0","75.7","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 05:42:57","Sqlrate","mx","1","4553","11.0","2150.0","76.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 05:42:57","Sqlrate","wb","1","11766","11.0","2547.0","66.1","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 05:42:57","Sqlrate","geo","1","10609","11.0","2233.0","90.45","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 05:43:56","Sqlrate","lg","1","6302","11.0","2280.0","75.7","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 05:43:56","Sqlrate","mx","1","4553","11.0","2150.0","76.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 05:43:56","Sqlrate","wb","1","11766","11.0","2547.0","66.1","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 05:43:56","Sqlrate","geo","1","10609","11.0","2233.0","90.45","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 05:45:04","Sqlrate","lg","1","6302","11.0","2280.0","75.7","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 05:45:05","Sqlrate","mx","1","4553","11.0","2150.0","76.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 05:45:05","Sqlrate","wb","1","11766","11.0","2547.0","66.1","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 05:45:05","Sqlrate","geo","1","10609","11.0","2233.0","90.45","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 05:51:39","Sqlrate","lg","1","6302","11.0","2280.0","75.7","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 05:51:39","Sqlrate","mx","1","4553","11.0","2150.0","76.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 05:51:39","Sqlrate","wb","1","11768","11.0","2547.0","66.09","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 05:51:39","Sqlrate","geo","1","10610","11.0","2233.0","90.44","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 06:17:16","Sqlrate","lg","1","6305","11.0","2280.0","75.68","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 06:17:17","Sqlrate","mx","1","4563","11.0","2150.0","76.91","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 06:17:17","Sqlrate","wb","1","11772","11.0","2547.0","66.08","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 06:17:17","Sqlrate","geo","1","10618","11.0","2233.0","90.4","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 06:17:34","Sqlrate","lg","1","6305","11.0","2280.0","75.68","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 06:17:34","Sqlrate","mx","1","4563","11.0","2150.0","76.91","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 06:17:34","Sqlrate","wb","1","11772","11.0","2547.0","66.08","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 06:17:34","Sqlrate","geo","1","10618","11.0","2233.0","90.4","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 15:51:51","Sqlrate","lg","1","6389","11.0","2280.0","75.12","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 15:51:51","Sqlrate","mx","1","4652","11.0","2150.0","75.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 15:51:51","Sqlrate","wb","1","11838","11.0","2547.0","65.94","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 15:51:52","Sqlrate","geo","1","10745","11.0","2233.0","89.84","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 16:05:32","Sqlrate","lg","1","6391","11.0","2280.0","75.11","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 16:05:33","Sqlrate","mx","1","4652","11.0","2150.0","75.98","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 16:05:33","Sqlrate","wb","1","11838","11.0","2547.0","65.94","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 16:05:33","Sqlrate","geo","1","10746","11.0","2233.0","89.83","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 18:07:26","Sqlrate","lg","1","6409","11.0","2280.0","74.97","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 18:07:27","Sqlrate","mx","1","4672","11.0","2150.0","75.81","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 18:07:27","Sqlrate","wb","1","11864","11.0","2547.0","65.86","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 18:07:27","Sqlrate","geo","1","10777","11.0","2233.0","89.7","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 18:15:23","Sqlrate","lg","1","6409","11.0","2280.0","74.97","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 18:15:23","Sqlrate","mx","1","4672","11.0","2150.0","75.81","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 18:15:23","Sqlrate","wb","1","11866","11.0","2547.0","65.85","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 18:15:24","Sqlrate","geo","1","10778","11.0","2233.0","89.7","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-30 21:06:21","Sqlrate","lg","1","6425","11.0","2280.0","74.86","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-30 21:06:21","Sqlrate","mx","1","4711","11.0","2150.0","75.46","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-30 21:06:22","Sqlrate","wb","1","11902","11.0","2547.0","65.74","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-30 21:06:22","Sqlrate","geo","1","10808","11.0","2233.0","89.58","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 00:25:56","Sqlrate","lg","1","6454","11.0","2280.0","74.65","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 00:25:56","Sqlrate","mx","1","4724","11.0","2150.0","75.41","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-31 00:25:56","Sqlrate","wb","1","11954","11.0","2547.0","65.58","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 00:25:56","Sqlrate","geo","1","10845","11.0","2233.0","89.43","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 00:46:30","Sqlrate","lg","1","6462","11.0","2280.0","74.61","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 00:46:30","Sqlrate","mx","1","4727","11.0","2150.0","75.39","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-31 00:46:30","Sqlrate","wb","1","11962","11.0","2547.0","65.56","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 00:46:31","Sqlrate","geo","1","10851","11.0","2233.0","89.4","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 04:36:07","Sqlrate","lg","1","6483","11.0","2280.0","74.49","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 04:36:07","Sqlrate","mx","1","4741","11.0","2150.0","75.25","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-31 04:36:07","Sqlrate","wb","1","11998","11.0","2547.0","65.47","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 04:36:08","Sqlrate","geo","1","10890","11.0","2233.0","89.24","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 04:56:05","Sqlrate","lg","1","6483","11.0","2280.0","74.49","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 04:56:05","Sqlrate","mx","1","4741","11.0","2150.0","75.25","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-31 04:56:06","Sqlrate","wb","1","12000","11.0","2547.0","65.46","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 04:56:06","Sqlrate","geo","1","10891","11.0","2233.0","89.24","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 05:13:37","Sqlrate","lg","1","6484","11.0","2280.0","74.49","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 05:13:38","Sqlrate","mx","1","4741","11.0","2150.0","75.25","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-31 05:13:38","Sqlrate","wb","1","12002","11.0","2547.0","65.46","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 05:13:38","Sqlrate","geo","1","10892","11.0","2233.0","89.23","44.0","22.73","NA","NA","NA","NA","NA"
"2025-12-31 06:00:07","Sqlrate","lg","1","6489","11.0","2280.0","74.46","32.0","31.25","NA","NA","NA","NA","NA"
"2025-12-31 06:00:07","Sqlrate","mx","1","4751","11.0","2150.0","75.18","30.0","33.33","NA","NA","NA","NA","NA"
"2025-12-31 06:00:08","Sqlrate","wb","1","12006","11.0","2547.0","65.44","29.0","34.48","NA","NA","NA","NA","NA"
"2025-12-31 06:00:08","Sqlrate","geo","1","10904","11.0","2233.0","89.19","44.0","22.73","NA","NA","NA","NA","NA"
