"ipset","chain","target","osi","member","membertype","packets"
"Untreated","INPUT","DROP","5","43.173.177.179","IP","40"
"Untreated","INPUT","DROP","5","134.209.214.43","IP","25"
"Untreated","INPUT","DROP","5","52.176.217.57","IP","38"
"Untreated","INPUT","DROP","5","147.185.132.146","IP","2"
"Untreated","INPUT","DROP","5","4.194.133.126","IP","5"
"Untreated","INPUT","DROP","5","35.203.210.137","IP","1"
"Untreated","INPUT","DROP","5","43.173.177.85","IP","25"
"Untreated","INPUT","DROP","5","205.210.31.71","IP","1"
"custody","INPUT","DROP","5","199.195.254.215","IP","112"
"custody","INPUT","DROP","5","3.27.125.185","IP","127"
"custody","INPUT","DROP","5","209.38.86.189","IP","2078"
"custody","INPUT","DROP","5","34.96.41.59","IP","42"
"custody","INPUT","DROP","5","8.217.213.2","IP","13"
"custody","INPUT","DROP","5","52.141.42.203","IP","39"
"custody","INPUT","DROP","5","43.165.62.189","IP","203"
"custody","INPUT","DROP","5","101.47.163.80","IP","44"
"custody","INPUT","DROP","5","147.50.103.212","IP","106"
"custody","INPUT","DROP","5","196.0.120.211","IP","106"
"custody","INPUT","DROP","5","148.113.24.68","IP","190"
"custody","INPUT","DROP","5","134.199.195.212","IP","2342"
"custody","INPUT","DROP","5","172.96.182.111","IP","115"
"custody","INPUT","DROP","5","45.78.222.3","IP","49"
"custody","INPUT","DROP","5","173.246.158.158","IP","21"
"custody","INPUT","DROP","5","51.159.4.231","IP","22"
"custody","INPUT","DROP","5","157.245.186.9","IP","195"
"custody","INPUT","DROP","5","45.78.222.111","IP","34"
"custody","INPUT","DROP","5","134.199.154.101","IP","2088"
"custody","INPUT","DROP","5","47.251.158.230","IP","27"
"custody","INPUT","DROP","5","93.158.71.185","IP","7"
"custody","INPUT","DROP","5","80.241.216.90","IP","110"
"custody","INPUT","DROP","5","161.35.89.98","IP","26"
"custody","INPUT","DROP","5","60.249.21.57","IP","95"
"custody","INPUT","DROP","5","164.92.255.27","IP","5"
"custody","INPUT","DROP","5","54.38.52.18","IP","108"
"custody","INPUT","DROP","5","4.230.44.177","IP","42"
"custody","INPUT","DROP","5","152.42.240.109","IP","192"
"custody","INPUT","DROP","5","181.64.27.145","IP","102"
"custody","INPUT","DROP","5","149.88.74.74","IP","10"
"custody","INPUT","DROP","5","198.235.24.244","IP","2"
"custody","INPUT","DROP","5","51.178.28.8","IP","113"
"custody","INPUT","DROP","5","147.185.133.23","IP","86"
"custody","INPUT","DROP","5","51.89.1.85","IP","698"
"custody","INPUT","DROP","5","27.254.152.90","IP","107"
"custody","INPUT","DROP","5","74.225.136.96","IP","41"
"custody","INPUT","DROP","5","88.151.33.203","IP","13"
"custody","INPUT","DROP","5","159.223.89.85","IP","200"
"custody","INPUT","DROP","5","134.122.63.138","IP","26"
