"ipset","chain","target","osi","member","membertype","packets"
"blacklist","PREROUTING","DROP","3","47.128.0.0/16","CIDR","759"
"blacklist","PREROUTING","DROP","3","206.168.32.0/22","CIDR","593"
"custody-low","PREROUTING","DROP","3","110.238.72.0/21","CIDR","87"
"custody-low","PREROUTING","DROP","3","94.231.206.0/24","CIDR","40"
"custody-low","PREROUTING","DROP","3","154.83.196.0/24","CIDR","108"
"GeoTrack-DB","PREROUTING","DROP","3","185.255.135.0/24","CIDR","1"
"spamhaus","PREROUTING","DROP","3","45.141.215.0/24","CIDR","6"
"spamhaus","PREROUTING","DROP","3","45.139.104.0/24","CIDR","18"
"spamhaus","PREROUTING","DROP","3","193.46.255.0/24","CIDR","953"
"spamhaus","PREROUTING","DROP","3","45.135.232.0/24","CIDR","26"
"spamhaus","PREROUTING","DROP","3","46.151.182.0/24","CIDR","11"
"spamhaus","PREROUTING","DROP","3","176.65.132.0/24","CIDR","173"
"spamhaus","PREROUTING","DROP","3","86.54.42.0/24","CIDR","4"
"spamhaus","PREROUTING","DROP","3","130.12.180.0/22","CIDR","118"
"spamhaus","PREROUTING","DROP","3","94.26.90.0/24","CIDR","3"
"spamhaus","PREROUTING","DROP","3","45.153.34.0/24","CIDR","130"
"spamhaus","PREROUTING","DROP","3","141.98.11.0/24","CIDR","159"
"spamhaus","PREROUTING","DROP","3","79.124.62.0/24","CIDR","1699"
"spamhaus","PREROUTING","DROP","3","62.60.130.0/24","CIDR","1"
"spamhaus","PREROUTING","DROP","3","87.121.84.0/24","CIDR","35"
"spamhaus","PREROUTING","DROP","3","196.251.100.0/24","CIDR","38"
"spamhaus","PREROUTING","DROP","3","45.135.194.0/24","CIDR","38"
"spamhaus","PREROUTING","DROP","3","147.45.124.0/23","CIDR","3"
"spamhaus","PREROUTING","DROP","3","158.94.208.0/22","CIDR","16"
"spamhaus","PREROUTING","DROP","3","185.169.4.0/24","CIDR","21"
"spamhaus","PREROUTING","DROP","3","138.226.236.0/23","CIDR","3"
"spamhaus","PREROUTING","DROP","3","91.92.240.0/22","CIDR","10"
"spamhaus","PREROUTING","DROP","3","141.98.10.0/24","CIDR","4"
"spamhaus","PREROUTING","DROP","3","23.132.164.0/24","CIDR","23"
"spamhaus","PREROUTING","DROP","3","195.178.110.0/24","CIDR","79"
"spamhaus","PREROUTING","DROP","3","185.208.156.0/22","CIDR","4"
